(36.0753604529, -119.815502709),
(36.6057058971, -121.074995529),
(36.7581801263, -119.649322632),
(40.0046824769, -120.838597596),
(36.5111268089, -117.410789686),
(37.9233794475, -121.951073113),
(38.5972506332, -119.82065303),
(40.7050090829, -123.915819446),
(39.0345595213, -121.694849665),
(33.7436800499, -115.993845895),
(37.4362097341, -122.355663195),
(37.5591374435, -120.997682895),
(33.028186394, -116.770204664),
(33.6769134328, -117.776142822),
(36.2397743956, -121.308901554),
(37.2324840341, -121.696278854),
(40.7637666014, -122.040521531),
(37.6504930265, -121.917998966),
(35.3428473738, -118.729900424),
(39.5984047698, -122.392206808),
(40.6506935615, -123.112627727),
(39.301369579, -120.768752113),
(38.05518334, -122.748858563),
(34.5383440862, -120.030786183),
(38.525292575, -122.922544658),
(38.6866603948, -121.90161702),
(40.1257361849, -122.233884853),
(37.0216059108, -122.009787403),
(41.5898335739, -120.725028959),
(36.220156659, -118.80047248),
(41.5926866339, -122.540367763),
(39.4336238198, -123.431553907),
(37.938990343, -118.886709262),
(37.7597150131, -122.693975573),
(38.0276014047, -119.95475358),
(38.7787375794, -120.524649929),
(38.4493208547, -121.344253814),
(38.204606803, -120.554132098),
(39.177573113, -122.237029616),
(38.446389504, -120.651115621),
(35.38741848, -120.452196945),
(40.6735903894, -120.594332834),
(37.9347459676, -121.271403235),
(33.0395904342, -115.365336962),
(39.0996453445, -122.753183909),
(39.0634313879, -120.717645936),
(38.5064964441, -122.330538465),
(38.2669127871, -121.940024418),
(39.6669293633, -121.600671735),
(34.3575285169, -119.126027193),
(37.5815223099, -119.905517029),
(34.8414378315, -116.17846142),
(39.2690076722, -121.351262732),
(37.191870471, -120.717688),
(39.5804001016, -120.515996378),
(37.2180440575, -119.762644507),
(34.1979978627, -118.26101385),
(41.744942366, -123.957801356)
