T2M,Temperature at 2 Meters
ALLSKY_SFC_SW_DWN,All Sky Surface Shortwave Downward Irradiance
ALLSKY_SFC_LW_DWN,All Sky Surface Longwave Downward Irradiance
ALLSKY_SFC_SW_DIFF,All Sky Surface Shortwave Diffuse Irradiance
ALLSKY_SFC_SW_DNI,All Sky Surface Shortwave Downward Direct Normal Irradiance
CLOUD_AMT,Cloud Amount
ALLSKY_KT,All Sky Insolation Clearness Index
RH2M,Relative Humidity at 2 Meters
PRECTOTCORR,Precipitation Corrected
