Latitude,Longitude,PS,WS50M,Z0M,T10M
40.593277,-88.081116,99.03571428571428,6.857142857142857,0.04,10.965714285714286
43.58593,-95.601624,96.1542857142857,7.29,0.04,7.928571428571429
32.335941,-104.927216,85.13,6.472857142857143,0.04,15.781428571428572
41.55677,-88.502136,99.07857142857142,6.758571428571429,0.05,10.02
41.201893,-89.958557,99.05142857142856,6.812857142857142,0.05,10.537142857142856
42.136871,-105.386948,79.11285714285714,8.608571428571429,0.03,5.895714285714286
39.187252,-119.542969,83.23571428571428,4.031428571428571,0.1,11.024285714285714
34.365887,-110.333237,81.26857142857143,5.4957142857142856,0.53,11.928571428571429
42.425892,-73.073242,97.30857142857144,4.471428571428572,2.1,7.875714285714286
41.973656,-80.384918,98.89285714285714,5.880000000000001,0.86,10.211428571428572
43.399471,-95.526031,96.1542857142857,7.29,0.04,7.928571428571429
45.555019,-97.157349,96.68,7.295714285714285,0.04,6.965714285714285
45.186321,-117.850922,85.56857142857143,4.1085714285714285,1.66,5.911428571428572
44.658016,-94.598999,97.92,6.944285714285714,0.04,7.734285714285714
39.18853,-83.806671,98.39142857142858,5.321428571428571,0.44,12.067142857142857
34.796879,-105.10704,83.28285714285714,7.177142857142857,0.04,13.655714285714286
32.264866,-111.873611,94.72142857142856,4.852857142857142,0.06,21.985714285714288
38.497135,-113.006271,82.36142857142856,5.212857142857144,0.03,10.788571428571428
30.14341,-90.11438,101.70142857142856,5.627142857142857,0.03,21.18142857142857
43.472694,-95.294556,96.60285714285716,7.298571428571428,0.04,8.034285714285714
35.42421,-90.310181,100.75,6.145714285714286,0.06,16.247142857142855
33.040974,-101.705994,91.10857142857142,7.038571428571428,0.03,16.944285714285716
42.541595,-95.204712,96.97714285714288,7.1971428571428575,0.04,9.055714285714286
35.789185,-100.700836,91.96,7.528571428571429,0.04,15.25
42.461075,-97.399353,95.77714285714286,7.435714285714285,0.05,9.47
40.891666,-87.597534,99.17428571428572,6.788571428571428,0.05,10.632857142857144
40.379131,-83.886871,98.02857142857144,6.6571428571428575,0.05,10.588571428571427
36.193817,-117.597656,87.92,4.241428571428572,0.02,16.532857142857143
41.66811,-108.175079,78.98428571428572,7.042857142857143,0.02,6.127142857142857
41.243256,-95.913544,97.61428571428571,7.005714285714285,0.05,10.698571428571428
44.013256,-120.87973,86.91714285714286,5.597142857142857,0.04,7.718571428571429
32.236118,-99.531494,95.55714285714284,6.975714285714285,0.05,18.397142857142857
46.375889,-97.03952,97.99714285714286,6.968571428571429,0.04,6.4557142857142855
34.776608,-105.126663,83.28285714285714,7.177142857142857,0.04,13.655714285714286
36.485321,-113.287567,84.15714285714286,5.14,0.04,13.647142857142857
32.380089,-104.846512,85.13,6.472857142857143,0.04,15.781428571428572
42.990925,-78.367371,98.64285714285714,5.01,1.87,9.038571428571428
45.442833,-103.245148,91.25142857142858,7.312857142857142,0.03,8.09
45.029736,-102.662994,92.10142857142856,7.192857142857143,0.03,8.661428571428571
42.485107,-117.350983,85.39857142857143,5.640000000000001,0.03,9.347142857142856
40.606617,-89.06134,98.89571428571428,6.9157142857142855,0.04,10.882857142857144
46.451035,-102.970734,91.76,7.52,0.03,7.19
45.690987,-118.524719,91.82285714285716,5.654285714285714,0.05,9.435714285714283
42.308624,-89.138885,98.47428571428571,6.74,0.05,8.694285714285714
43.354362,-78.491577,100.54142857142855,7.295714285714285,0.04,9.748571428571427
29.311813,-103.631897,89.2942857142857,5.177142857142857,0.02,19.82857142857143
41.717617,-105.471252,78.10428571428572,8.248571428571427,0.03,5.614285714285714
43.23431,-89.311737,98.23714285714286,6.802857142857143,0.05,8.139999999999999
40.506908,-93.449341,98.03142857142858,6.862857142857143,0.05,10.792857142857144
45.386738,-102.944977,91.25142857142858,7.312857142857142,0.03,8.09
37.350235,-116.294464,82.57000000000001,5.692857142857143,0.02,12.27
41.63726,-104.882782,80.46857142857142,8.285714285714286,0.03,7.478571428571429
